,DateTime,Open,High,Low,Close
0,2013-05-13,138.46,138.97,138.16,138.43
1,2013-05-14,137.96,139.16,137.64,137.81
2,2013-05-15,136.61,136.98,134.23,134.65
3,2013-05-16,133.16,134.48,133.0,134.09
4,2013-05-17,133.17,133.48,131.02,131.07
5,2013-05-20,130.88,135.32,130.85,135.16
6,2013-05-21,132.17,133.65,131.45,132.89
7,2013-05-22,134.18,136.77,130.95,131.94
8,2013-05-23,134.51,134.84,133.12,134.61
9,2013-05-24,134.11,134.51,133.64,133.76
10,2013-05-28,133.68,135.57,132.8,133.49
11,2013-05-29,134.09,134.91,133.64,134.83
12,2013-05-30,136.68,137.11,136.26,136.7
13,2013-05-31,135.71,136.05,133.89,133.92
14,2013-06-03,134.76,136.98,134.43,136.51
15,2013-06-04,135.21,135.44,134.27,135.23
16,2013-06-05,135.48,136.37,135.01,135.52
17,2013-06-06,135.39,137.62,134.98,136.53
18,2013-06-07,134.11,134.62,133.18,133.28
19,2013-06-10,133.3,134.28,132.99,133.96
20,2013-06-11,132.3,133.51,132.25,133.25
21,2013-06-12,132.95,134.83,132.83,134.25
22,2013-06-13,133.31,134.2,132.82,133.74
23,2013-06-14,134.0,134.6,133.88,134.43
24,2013-06-17,133.89,134.06,133.52,133.77
25,2013-06-18,132.72,132.96,131.53,132.13
26,2013-06-19,132.58,133.15,130.38,130.59
27,2013-06-20,125.21,126.38,123.33,123.6
28,2013-06-21,125.16,125.57,124.46,125.05
29,2013-06-24,124.31,124.7,123.31,123.93
30,2013-06-25,123.65,123.9,122.88,123.47
31,2013-06-26,119.88,119.9,118.06,118.28
32,2013-06-27,119.1,119.51,115.65,115.92
33,2013-06-28,115.22,119.33,114.68,119.15
34,2013-07-01,119.98,121.95,119.38,121.13
35,2013-07-02,121.34,121.47,119.78,120.07
36,2013-07-03,120.7,121.77,120.54,120.74
37,2013-07-05,118.08,118.18,116.74,118.09
38,2013-07-08,119.1,119.66,118.93,119.51
39,2013-07-09,120.84,121.51,120.05,120.62
40,2013-07-10,121.15,122.35,120.59,120.95
41,2013-07-11,124.26,124.37,123.47,124.25
42,2013-07-12,123.52,124.3,123.32,124.13
43,2013-07-15,124.07,124.39,123.84,124.18
44,2013-07-16,124.76,125.21,124.33,124.9
45,2013-07-17,125.04,125.7,122.73,123.32
46,2013-07-18,124.11,124.52,123.78,124.05
47,2013-07-19,124.89,125.42,124.65,125.11
48,2013-07-22,127.67,129.46,127.59,128.84
49,2013-07-23,128.7,130.14,128.35,129.71
50,2013-07-24,129.18,129.4,126.87,127.5
51,2013-07-25,127.7,128.87,127.64,128.67
52,2013-07-26,128.11,128.97,126.78,128.8
53,2013-07-29,128.45,128.78,128.25,128.47
54,2013-07-30,127.95,128.31,127.22,128.12
55,2013-07-31,127.78,128.92,126.13,127.96
56,2013-08-01,127.84,127.89,126.33,126.62
57,2013-08-02,126.74,127.25,126.32,126.36
58,2013-08-05,126.51,126.64,125.34,125.69
59,2013-08-06,124.33,124.55,123.55,123.97
60,2013-08-07,124.0,124.6,123.85,124.15
61,2013-08-08,124.78,126.99,124.77,126.86
62,2013-08-09,126.51,127.27,126.3,126.86
63,2013-08-12,129.57,129.71,128.88,129.13
64,2013-08-13,128.49,128.65,127.38,127.74
65,2013-08-14,127.66,129.07,127.57,129.0
66,2013-08-15,128.06,132.36,127.98,131.67
67,2013-08-16,132.56,133.27,131.39,132.58
68,2013-08-19,132.33,132.5,131.59,132.01
69,2013-08-20,132.03,133.13,132.02,132.45
70,2013-08-21,131.74,133.23,131.51,132.07
71,2013-08-22,132.56,133.46,132.27,132.81
72,2013-08-23,132.55,135.24,132.5,134.9
73,2013-08-26,134.9,135.6,134.15,135.45
74,2013-08-27,136.93,137.55,136.52,136.72
75,2013-08-28,137.21,137.46,136.66,136.69
76,2013-08-29,136.12,136.55,135.42,135.86
77,2013-08-30,134.65,135.71,134.44,134.62
78,2013-09-03,135.45,136.79,135.03,136.42
79,2013-09-04,134.61,134.84,133.72,134.62
80,2013-09-05,134.13,134.35,131.8,132.2
81,2013-09-06,133.42,134.4,133.33,134.15
82,2013-09-09,134.14,134.32,133.67,133.91
83,2013-09-10,131.82,132.0,131.11,131.74
84,2013-09-11,131.56,131.81,131.26,131.7
85,2013-09-12,128.62,128.78,127.61,127.67
86,2013-09-13,127.16,127.96,126.21,127.82
87,2013-09-16,127.48,128.02,126.34,126.45
88,2013-09-17,126.81,126.99,126.11,126.5
89,2013-09-18,125.32,132.16,125.15,132.16
90,2013-09-19,132.0,132.78,131.22,131.77
91,2013-09-20,130.6,130.91,127.9,127.9
92,2013-09-23,127.53,128.44,127.33,127.53
93,2013-09-24,126.4,128.21,126.34,127.67
94,2013-09-25,127.57,129.21,127.52,128.79
95,2013-09-26,128.61,128.99,127.32,127.79
96,2013-09-27,128.86,129.58,128.84,128.97
97,2013-09-30,127.95,129.14,127.7,128.17
98,2013-10-01,125.25,125.26,123.81,124.59
99,2013-10-02,125.37,127.81,125.34,127.06
100,2013-10-03,126.77,127.69,126.22,127.18
101,2013-10-04,127.05,127.15,126.0,126.53
102,2013-10-07,127.26,128.33,127.12,127.64
103,2013-10-08,127.79,128.45,127.21,127.4
104,2013-10-09,126.2,126.89,124.97,126.11
105,2013-10-10,125.34,125.83,124.1,124.27
106,2013-10-11,122.37,122.81,121.85,122.6
107,2013-10-14,123.9,124.24,122.81,122.83
108,2013-10-15,122.28,124.36,122.22,123.73
109,2013-10-16,123.52,123.89,122.51,123.54
110,2013-10-17,127.01,127.86,126.81,127.42
111,2013-10-18,126.87,127.33,126.6,126.85
112,2013-10-21,127.13,127.34,126.79,126.98
113,2013-10-22,128.25,129.81,128.22,129.34
114,2013-10-23,128.55,129.09,128.35,128.69
115,2013-10-24,129.41,130.53,129.41,129.9
116,2013-10-25,129.53,130.92,129.46,130.46
117,2013-10-28,130.41,131.44,130.1,130.56
118,2013-10-29,130.16,130.59,129.57,129.77
119,2013-10-30,130.83,131.22,128.81,129.6
120,2013-10-31,128.04,128.49,127.3,127.74
121,2013-11-01,126.86,127.17,126.05,126.95
122,2013-11-04,127.18,127.52,126.74,126.81
123,2013-11-05,126.71,126.86,126.0,126.56
124,2013-11-06,127.11,127.36,126.92,127.2
125,2013-11-07,126.18,126.85,125.86,126.16
126,2013-11-08,124.46,124.46,123.62,124.28
127,2013-11-11,123.92,123.97,123.66,123.87
128,2013-11-12,123.53,123.87,121.73,122.45
129,2013-11-13,122.97,123.24,122.39,122.85
130,2013-11-14,123.94,124.91,123.88,124.27
131,2013-11-15,124.16,124.52,124.07,124.32
132,2013-11-18,123.7,123.96,122.55,122.9
133,2013-11-19,122.97,123.4,122.83,122.95
134,2013-11-20,121.68,122.44,119.76,120.12
135,2013-11-21,119.81,120.35,119.31,119.94
136,2013-11-22,120.24,120.4,119.82,119.92
137,2013-11-25,119.18,121.0,119.13,120.46
138,2013-11-26,119.84,120.4,119.59,119.82
139,2013-11-27,120.49,120.69,119.25,119.46
140,2013-11-29,120.67,121.05,120.62,120.7
141,2013-12-02,119.2,119.29,117.5,117.58
142,2013-12-03,117.59,118.31,117.23,117.96
