,DateTime,Open,High,Low,Close
0,2013-05-13,95.41,95.5,95.11,95.12
1,2013-05-14,95.23,95.46,95.11,95.22
2,2013-05-15,95.22,95.34,95.09,95.23
3,2013-05-16,95.29,95.64,95.18,95.46
4,2013-05-17,95.59,95.63,95.34,95.46
5,2013-05-20,95.46,95.64,95.36,95.56
6,2013-05-21,95.56,95.78,95.54,95.74
7,2013-05-22,95.72,95.88,95.1,95.15
8,2013-05-23,94.93,95.02,94.69,94.89
9,2013-05-24,94.75,94.79,94.67,94.71
10,2013-05-28,95.03,95.03,94.31,94.36
11,2013-05-29,94.06,94.26,93.55,93.98
12,2013-05-30,93.74,94.36,93.69,94.17
13,2013-05-31,93.97,94.11,92.9,92.92
14,2013-06-03,92.38,92.52,91.8,92.36
15,2013-06-04,92.48,93.05,92.19,92.36
16,2013-06-05,92.19,92.24,91.44,91.56
17,2013-06-06,91.4,92.59,91.32,92.28
18,2013-06-07,92.44,92.97,92.2,92.34
19,2013-06-10,92.34,92.59,92.08,92.15
20,2013-06-11,91.58,92.23,91.29,91.58
21,2013-06-12,91.93,92.12,91.63,91.65
22,2013-06-13,91.67,92.82,91.65,92.81
23,2013-06-14,92.87,92.94,92.55,92.81
24,2013-06-17,92.93,93.45,92.8,92.8
25,2013-06-18,92.76,93.11,92.76,93.03
26,2013-06-19,92.95,93.27,91.62,91.64
27,2013-06-20,91.09,91.58,90.28,90.54
28,2013-06-21,91.01,91.11,90.12,90.15
29,2013-06-24,89.45,90.0,88.27,89.04
30,2013-06-25,89.55,90.31,89.5,90.31
31,2013-06-26,90.7,91.18,90.57,91.06
32,2013-06-27,91.43,91.94,91.4,91.5
33,2013-06-28,91.3,91.32,90.47,90.86
34,2013-07-01,90.59,90.99,90.5,90.89
35,2013-07-02,90.79,91.05,90.35,90.61
36,2013-07-03,90.29,90.86,90.28,90.82
37,2013-07-05,90.47,90.6,89.63,89.85
38,2013-07-08,90.09,91.09,90.0,91.03
39,2013-07-09,91.1,91.19,90.87,91.16
40,2013-07-10,91.18,91.54,91.08,91.5
41,2013-07-11,92.18,92.67,92.0,92.66
42,2013-07-12,92.46,92.67,92.25,92.56
43,2013-07-15,92.68,93.09,92.56,92.95
44,2013-07-16,93.09,93.09,92.47,92.72
45,2013-07-17,93.03,93.52,93.0,93.4
46,2013-07-18,93.5,94.0,93.44,93.96
47,2013-07-19,93.95,93.97,93.77,93.91
48,2013-07-22,93.93,94.01,93.75,93.97
49,2013-07-23,93.89,93.98,93.67,93.74
50,2013-07-24,93.54,93.64,92.66,92.96
51,2013-07-25,92.52,92.88,92.44,92.74
52,2013-07-26,92.48,92.78,92.39,92.78
53,2013-07-29,92.6,92.73,92.42,92.58
54,2013-07-30,92.52,92.87,92.52,92.71
55,2013-07-31,92.49,93.01,92.28,92.98
56,2013-08-01,92.42,92.59,91.61,91.65
57,2013-08-02,91.96,92.26,91.81,92.21
58,2013-08-05,92.18,92.18,91.7,91.7
59,2013-08-06,91.93,91.93,91.36,91.65
60,2013-08-07,91.45,91.54,91.29,91.36
61,2013-08-08,91.42,91.59,91.38,91.56
62,2013-08-09,91.43,91.68,91.12,91.57
63,2013-08-12,91.44,91.72,91.42,91.49
64,2013-08-13,91.48,91.57,91.3,91.49
65,2013-08-14,91.43,91.49,91.26,91.31
66,2013-08-15,91.02,91.09,90.75,90.83
67,2013-08-16,91.06,91.1,90.42,90.53
68,2013-08-19,90.57,90.63,89.8,89.93
69,2013-08-20,90.3,90.86,90.28,90.76
70,2013-08-21,90.67,90.78,90.37,90.43
71,2013-08-22,90.57,90.92,90.49,90.92
72,2013-08-23,90.91,91.36,90.85,91.3
73,2013-08-26,91.32,91.39,91.13,91.31
74,2013-08-27,91.05,91.13,90.71,90.72
75,2013-08-28,90.76,91.09,90.66,91.06
76,2013-08-29,90.82,91.5,90.82,91.43
77,2013-08-30,91.47,91.59,91.19,91.35
78,2013-09-03,90.94,91.18,90.31,90.33
79,2013-09-04,90.61,90.84,90.51,90.73
80,2013-09-05,90.57,90.65,90.27,90.27
81,2013-09-06,90.79,91.1,90.42,90.57
82,2013-09-09,90.73,91.0,90.71,90.84
83,2013-09-10,90.88,91.13,90.87,91.12
84,2013-09-11,90.99,91.26,90.9,91.24
85,2013-09-12,91.24,91.31,91.1,91.13
86,2013-09-13,91.24,91.32,90.98,91.06
87,2013-09-16,91.71,91.81,91.45,91.56
88,2013-09-17,91.67,91.98,91.61,91.86
89,2013-09-18,91.84,92.88,91.71,92.74
90,2013-09-19,92.99,92.99,92.4,92.47
91,2013-09-20,92.44,92.49,92.28,92.35
92,2013-09-23,92.35,92.46,92.22,92.35
93,2013-09-24,92.27,92.41,92.06,92.15
94,2013-09-25,92.14,92.26,91.95,91.99
95,2013-09-26,92.11,92.13,91.77,91.94
96,2013-09-27,91.87,91.94,91.61,91.84
97,2013-09-30,91.59,91.95,91.5,91.56
98,2013-10-01,91.16,91.55,91.06,91.53
99,2013-10-02,91.46,91.57,91.25,91.57
100,2013-10-03,91.65,91.69,91.43,91.63
101,2013-10-04,91.6,91.87,91.54,91.79
102,2013-10-07,91.46,91.76,91.46,91.55
103,2013-10-08,91.75,91.86,91.49,91.51
104,2013-10-09,91.78,91.78,91.51,91.59
105,2013-10-10,91.82,92.1,91.82,92.01
106,2013-10-11,92.16,92.24,92.01,92.18
107,2013-10-14,92.0,92.41,92.0,92.32
108,2013-10-15,92.4,92.4,92.05,92.29
109,2013-10-16,92.33,92.79,92.32,92.78
110,2013-10-17,92.75,93.25,92.73,93.23
111,2013-10-18,93.28,93.5,93.25,93.42
112,2013-10-21,93.45,93.46,93.21,93.21
113,2013-10-22,93.38,93.61,93.36,93.49
114,2013-10-23,93.57,93.59,93.31,93.57
115,2013-10-24,93.6,93.69,93.46,93.6
116,2013-10-25,93.64,93.7,93.55,93.63
117,2013-10-28,93.65,93.7,93.58,93.61
118,2013-10-29,93.59,93.77,93.57,93.76
119,2013-10-30,93.76,93.83,93.31,93.38
120,2013-10-31,93.44,93.54,93.22,93.43
121,2013-11-01,93.0,93.26,92.82,92.82
122,2013-11-04,93.08,93.08,92.93,92.98
123,2013-11-05,92.96,92.96,92.73,92.73
124,2013-11-06,92.91,93.01,92.82,93.0
125,2013-11-07,93.1,93.14,92.92,93.06
126,2013-11-08,92.69,92.96,92.66,92.9
127,2013-11-11,92.94,92.94,92.53,92.55
128,2013-11-12,92.56,92.59,92.37,92.42
129,2013-11-13,92.37,92.78,92.32,92.77
130,2013-11-14,92.75,93.05,92.65,93.04
131,2013-11-15,93.06,93.18,92.96,93.18
132,2013-11-18,93.23,93.25,92.83,92.91
133,2013-11-19,92.93,93.01,92.79,92.87
134,2013-11-20,92.83,93.07,92.67,92.78
