,DateTime,Open,High,Low,Close
0,2013-01-02,121.77,121.77,121.77,121.77
1,2013-01-03,117.93,117.93,117.93,117.93
2,2013-01-04,115.53,115.53,115.53,115.53
3,2013-01-07,116.78,116.78,116.78,116.78
4,2013-01-08,118.15,118.15,118.15,118.15
5,2013-01-09,117.89,117.89,117.89,117.89
6,2013-01-10,118.53,118.53,118.53,118.53
7,2013-01-11,119.14,119.14,119.14,119.14
8,2013-01-14,117.19,117.19,117.19,117.19
9,2013-01-15,120.9,120.9,120.9,120.9
10,2013-01-16,120.13,120.13,120.13,120.13
11,2013-01-17,120.53,120.53,120.53,120.53
12,2013-01-18,124.79,124.79,124.79,124.79
13,2013-01-22,126.73,126.73,126.73,126.73
14,2013-01-23,126.58,126.58,126.58,126.58
15,2013-01-24,125.47,125.47,125.47,125.47
16,2013-01-25,124.71,124.71,124.71,124.71
17,2013-01-28,122.95,122.95,122.95,122.95
18,2013-01-29,123.95,123.95,123.95,123.95
19,2013-01-30,121.92,121.92,121.92,121.92
20,2013-01-31,121.64,121.64,121.64,121.64
21,2013-02-01,122.55,122.55,122.55,122.55
22,2013-02-04,122.6,122.6,122.6,122.6
23,2013-02-05,123.22,123.22,123.22,123.22
24,2013-02-06,122.45,122.45,122.45,122.45
25,2013-02-07,125.35,125.35,125.35,125.35
26,2013-02-08,125.67,125.67,125.67,125.67
27,2013-02-11,125.53,125.53,125.53,125.53
28,2013-02-12,126.12,126.12,126.12,126.12
29,2013-02-13,126.68,126.68,126.68,126.68
30,2013-02-14,127.19,127.19,127.19,127.19
31,2013-02-15,130.46,130.46,130.46,130.46
32,2013-02-19,130.15,130.15,130.15,130.15
33,2013-02-20,124.47,124.47,124.47,124.47
34,2013-02-21,122.58,122.58,122.58,122.58
35,2013-02-22,125.37,125.37,125.37,125.37
36,2013-02-25,121.5,121.5,121.5,121.5
37,2013-02-26,122.92,122.92,122.92,122.92
38,2013-02-27,124.96,124.96,124.96,124.96
39,2013-02-28,126.86,126.86,126.86,126.86
40,2013-03-01,128.19,128.19,128.19,128.19
41,2013-03-04,128.65,128.65,128.65,128.65
42,2013-03-05,126.62,126.62,126.62,126.62
43,2013-03-06,124.73,124.73,124.73,124.73
44,2013-03-07,125.28,125.28,125.28,125.28
45,2013-03-08,124.46,124.46,124.46,124.46
46,2013-03-11,125.21,125.21,125.21,125.21
47,2013-03-12,128.66,128.66,128.66,128.66
48,2013-03-13,127.13,127.13,127.13,127.13
49,2013-03-14,128.96,128.96,128.96,128.96
50,2013-03-15,129.12,129.12,129.12,129.12
51,2013-03-18,126.17,126.17,126.17,126.17
52,2013-03-19,127.08,127.08,127.08,127.08
53,2013-03-20,123.73,123.73,123.73,123.73
54,2013-03-21,121.69,121.69,121.69,121.69
55,2013-03-22,122.18,122.18,122.18,122.18
56,2013-03-25,122.03,122.03,122.03,122.03
57,2013-03-26,122.47,122.47,122.47,122.47
58,2013-03-27,121.99,121.99,121.99,121.99
59,2013-03-28,122.93,122.93,122.93,122.93
60,2013-04-01,121.21,121.21,121.21,121.21
61,2013-04-02,122.84,122.84,122.84,122.84
62,2013-04-03,120.92,120.92,120.92,120.92
63,2013-04-04,120.79,120.79,120.79,120.79
64,2013-04-05,118.34,118.34,118.34,118.34
65,2013-04-08,119.21,119.21,119.21,119.21
66,2013-04-09,118.63,118.63,118.63,118.63
67,2013-04-10,118.34,118.34,118.34,118.34
68,2013-04-11,117.24,117.24,117.24,117.24
69,2013-04-12,117.84,117.84,117.84,117.84
70,2013-04-15,119.92,119.92,119.92,119.92
71,2013-04-16,124.1,124.1,124.1,124.1
72,2013-04-17,120.7,120.7,120.7,120.7
73,2013-04-18,121.28,121.28,121.28,121.28
74,2013-04-19,122.61,122.61,122.61,122.61
75,2013-04-22,120.52,120.52,120.52,120.52
76,2013-04-23,121.56,121.56,121.56,121.56
77,2013-04-24,119.84,119.84,119.84,119.84
78,2013-04-25,119.83,119.83,119.83,119.83
79,2013-04-26,118.86,118.86,118.86,118.86
80,2013-04-29,118.85,118.85,118.85,118.85
81,2013-04-30,119.05,119.05,119.05,119.05
82,2013-05-01,118.05,118.05,118.05,118.05
83,2013-05-02,117.95,117.95,117.95,117.95
84,2013-05-03,118.18,118.18,118.18,118.18
85,2013-05-06,116.93,116.93,116.93,116.93
86,2013-05-07,119.76,119.76,119.76,119.76
87,2013-05-08,117.35,117.35,117.35,117.35
88,2013-05-09,119.08,119.08,119.08,119.08
89,2013-05-10,117.97,117.97,117.97,117.97
90,2013-05-13,119.16,119.16,119.16,119.16
91,2013-05-14,116.16,116.16,116.16,116.16
92,2013-05-15,119.41,119.41,119.41,119.41
93,2013-05-16,121.22,121.22,121.22,121.22
94,2013-05-17,127.85,127.85,127.85,127.85
95,2013-05-20,117.67,117.67,117.67,117.67
96,2013-05-21,117.08,117.08,117.08,117.08
97,2013-05-22,117.16,117.16,117.16,117.16
98,2013-05-23,116.92,116.92,116.92,116.92
99,2013-05-24,118.17,118.17,118.17,118.17
100,2013-05-28,112.47,112.47,112.47,112.47
101,2013-05-29,116.2,116.2,116.2,116.2
102,2013-05-30,117.75,117.75,117.75,117.75
103,2013-05-31,119.51,119.51,119.51,119.51
104,2013-06-03,119.16,119.16,119.16,119.16
105,2013-06-04,116.87,116.87,116.87,116.87
106,2013-06-05,116.57,116.57,116.57,116.57
107,2013-06-06,117.64,117.64,117.64,117.64
108,2013-06-07,116.2,116.2,116.2,116.2
109,2013-06-10,116.2,116.2,116.2,116.2
110,2013-06-11,116.98,116.98,116.98,116.98
111,2013-06-12,115.56,115.56,115.56,115.56
112,2013-06-13,117.28,117.28,117.28,117.28
113,2013-06-14,116.29,116.29,116.29,116.29
114,2013-06-17,116.74,116.74,116.74,116.74
115,2013-06-18,118.7,118.7,118.7,118.7
116,2013-06-19,117.84,117.84,117.84,117.84
117,2013-06-20,117.52,117.52,117.52,117.52
118,2013-06-21,117.36,117.36,117.36,117.36
119,2013-06-24,116.08,116.08,116.08,116.08
120,2013-06-25,115.23,115.23,115.23,115.23
121,2013-06-26,115.81,115.81,115.81,115.81
122,2013-06-27,116.01,116.01,116.01,116.01
123,2013-06-28,116.53,116.53,116.53,116.53
124,2013-07-01,114.85,114.85,114.85,114.85
125,2013-07-02,115.22,115.22,115.22,115.22
126,2013-07-03,113.13,113.13,113.13,113.13
127,2013-07-05,117.12,117.12,117.12,117.12
128,2013-07-08,117.13,117.13,117.13,117.13
129,2013-07-09,115.19,115.19,115.19,115.19
130,2013-07-10,117.08,117.08,117.08,117.08
131,2013-07-11,115.53,115.53,115.53,115.53
132,2013-07-12,113.27,113.27,113.27,113.27
133,2013-07-15,114.42,114.42,114.42,114.42
134,2013-07-16,115.26,115.26,115.26,115.26
135,2013-07-17,115.27,115.27,115.27,115.27
136,2013-07-18,115.58,115.58,115.58,115.58
137,2013-07-19,113.07,113.07,113.07,113.07
138,2013-07-22,112.9,112.9,112.9,112.9
139,2013-07-23,113.14,113.14,113.14,113.14
140,2013-07-24,118.72,118.72,118.72,118.72
141,2013-07-25,117.85,117.85,117.85,117.85
142,2013-07-26,118.23,118.23,118.23,118.23
143,2013-07-29,118.93,118.93,118.93,118.93
144,2013-07-30,119.39,119.39,119.39,119.39
145,2013-07-31,117.85,117.85,117.85,117.85
146,2013-08-01,115.06,115.06,115.06,115.06
147,2013-08-02,116.89,116.89,116.89,116.89
148,2013-08-05,116.53,116.53,116.53,116.53
149,2013-08-06,119.09,119.09,119.09,119.09
150,2013-08-07,118.31,118.31,118.31,118.31
151,2013-08-08,118.47,118.47,118.47,118.47
152,2013-08-09,122.3,122.3,122.3,122.3
153,2013-08-12,115.44,115.44,115.44,115.44
154,2013-08-13,115.81,115.81,115.81,115.81
155,2013-08-14,119.33,119.33,119.33,119.33
156,2013-08-15,115.82,115.82,115.82,115.82
157,2013-08-16,117.21,117.21,117.21,117.21
158,2013-08-19,118.15,118.15,118.15,118.15
159,2013-08-20,118.07,118.07,118.07,118.07
160,2013-08-21,117.17,117.17,117.17,117.17
161,2013-08-22,119.21,119.21,119.21,119.21
162,2013-08-23,120.13,120.13,120.13,120.13
163,2013-08-26,118.69,118.69,118.69,118.69
164,2013-08-27,118.07,118.07,118.07,118.07
165,2013-08-28,117.51,117.51,117.51,117.51
166,2013-08-29,117.21,117.21,117.21,117.21
167,2013-08-30,117.48,117.48,117.48,117.48
168,2013-09-03,116.72,116.72,116.72,116.72
169,2013-09-04,116.97,116.97,116.97,116.97
170,2013-09-05,117.37,117.37,117.37,117.37
171,2013-09-06,118.67,118.67,118.67,118.67
172,2013-09-09,119.0,119.0,119.0,119.0
173,2013-09-10,119.94,119.94,119.94,119.94
174,2013-09-11,120.68,120.68,120.68,120.68
175,2013-09-12,119.67,119.67,119.67,119.67
176,2013-09-13,120.12,120.12,120.12,120.12
177,2013-09-16,118.84,118.84,118.84,118.84
178,2013-09-17,121.59,121.59,121.59,121.59
179,2013-09-18,114.22,114.22,114.22,114.22
180,2013-09-19,115.69,115.69,115.69,115.69
181,2013-09-20,115.87,115.87,115.87,115.87
182,2013-09-23,119.08,119.08,119.08,119.08
183,2013-09-24,119.31,119.31,119.31,119.31
