,DateTime,Open,High,Low,Close
0,2013-05-13,163.2,163.81,162.82,163.54
1,2013-05-14,163.67,165.35,163.67,165.28
2,2013-05-15,164.96,166.45,164.91,166.15
3,2013-05-16,165.77,166.36,165.09,165.34
4,2013-05-17,165.95,167.04,165.73,166.97
5,2013-05-20,166.78,167.58,166.61,166.97
6,2013-05-21,167.08,167.8,166.5,167.11
7,2013-05-22,167.34,169.07,165.17,165.92
8,2013-05-23,164.17,165.91,163.94,165.45
9,2013-05-24,164.46,165.38,163.98,165.33
10,2013-05-28,167.04,167.78,165.29,166.3
11,2013-05-29,165.42,165.8,164.34,165.22
12,2013-05-30,165.35,166.59,165.22,165.89
13,2013-05-31,165.37,166.31,163.13,163.24
14,2013-06-03,163.83,164.46,162.66,164.38
15,2013-06-04,164.44,165.1,162.73,163.56
16,2013-06-05,163.09,163.42,161.13,161.18
17,2013-06-06,161.2,162.74,160.25,162.64
18,2013-06-07,163.85,164.95,163.14,164.81
19,2013-06-10,165.3,165.4,164.37,164.8
20,2013-06-11,163.26,164.54,162.74,163.12
21,2013-06-12,164.22,164.39,161.6,161.75
22,2013-06-13,161.65,164.5,161.3,164.22
23,2013-06-14,164.05,164.67,162.91,163.17
24,2013-06-17,164.29,165.22,163.55,164.5
25,2013-06-18,164.52,165.99,164.52,165.69
26,2013-06-19,165.61,165.89,163.38,163.54
27,2013-06-20,161.86,162.1,158.98,159.27
28,2013-06-21,159.63,159.76,157.47,159.05
29,2013-06-24,157.42,158.43,155.73,156.99
30,2013-06-25,158.48,160.1,157.42,158.65
31,2013-06-26,159.87,160.5,159.25,160.17
32,2013-06-27,161.1,161.82,160.95,161.13
33,2013-06-28,160.62,161.4,159.86,160.01
34,2013-07-01,161.25,162.48,161.08,161.4
35,2013-07-02,161.12,162.3,160.5,161.16
36,2013-07-03,160.46,161.77,160.22,161.28
37,2013-07-05,162.47,163.08,161.3,163.05
38,2013-07-08,163.86,164.39,163.58,163.94
39,2013-07-09,164.98,165.33,164.27,165.08
40,2013-07-10,164.98,165.75,164.63,165.21
41,2013-07-11,167.11,167.61,166.53,167.51
42,2013-07-12,167.39,167.85,167.13,167.51
43,2013-07-15,167.97,168.39,167.68,168.22
44,2013-07-16,168.26,168.36,167.07,167.5
45,2013-07-17,168.16,168.48,167.73,167.97
46,2013-07-18,168.31,169.27,168.2,168.88
47,2013-07-19,168.52,169.23,168.31,169.23
48,2013-07-22,169.41,169.74,169.01,169.5
49,2013-07-23,169.8,169.83,169.05,169.14
50,2013-07-24,169.79,169.86,168.18,168.55
51,2013-07-25,168.22,169.08,167.94,168.93
52,2013-07-26,168.22,169.16,167.52,169.11
53,2013-07-29,168.68,169.06,168.11,168.53
54,2013-07-30,169.1,169.28,168.19,168.6
55,2013-07-31,168.96,169.85,168.49,168.66
56,2013-08-01,169.99,170.81,169.9,170.65
57,2013-08-02,170.28,170.96,170.05,170.95
58,2013-08-05,170.57,170.96,170.35,170.8
59,2013-08-06,170.37,170.52,169.35,169.73
60,2013-08-07,169.19,169.43,168.55,169.18
61,2013-08-08,169.98,170.18,168.93,169.81
62,2013-08-09,169.58,170.1,168.72,169.3
63,2013-08-12,168.46,169.31,168.38,169.1
64,2013-08-13,169.41,169.9,168.41,169.69
65,2013-08-14,169.53,169.8,168.7,168.74
66,2013-08-15,167.42,167.43,166.09,166.27
67,2013-08-16,166.06,166.63,165.5,165.87
68,2013-08-19,165.64,166.21,164.76,164.76
69,2013-08-20,165.04,166.2,164.86,165.59
70,2013-08-21,165.14,166.03,164.19,164.56
71,2013-08-22,164.9,166.3,164.89,166.06
72,2013-08-23,166.55,166.83,165.77,166.67
73,2013-08-26,166.79,167.3,165.89,165.97
74,2013-08-27,164.36,164.98,163.21,163.29
75,2013-08-28,163.26,164.49,163.05,163.91
76,2013-08-29,163.55,165.04,163.4,164.22
77,2013-08-30,164.51,164.53,163.17,163.65
78,2013-09-03,165.26,165.58,163.7,164.38
79,2013-09-04,164.43,166.03,164.14,165.82
80,2013-09-05,165.85,166.4,165.73,165.86
81,2013-09-06,166.51,166.98,164.48,166.04
82,2013-09-09,166.44,167.73,166.44,167.67
83,2013-09-10,168.64,168.9,168.26,168.84
84,2013-09-11,168.64,169.4,168.35,169.37
85,2013-09-12,169.35,169.56,168.72,169.04
86,2013-09-13,169.14,169.46,168.74,169.33
87,2013-09-16,171.16,171.24,170.04,170.38
88,2013-09-17,170.46,171.11,170.46,171.07
89,2013-09-18,171.01,173.52,170.58,173.14
90,2013-09-19,173.52,173.6,172.59,172.81
91,2013-09-20,172.33,172.33,170.58,170.62
92,2013-09-23,170.5,170.65,169.39,169.94
93,2013-09-24,169.91,170.53,169.21,169.57
94,2013-09-25,169.63,169.98,168.89,169.11
95,2013-09-26,169.32,170.17,169.05,169.69
96,2013-09-27,168.83,169.14,168.47,168.95
97,2013-09-30,167.48,168.54,167.15,168.1
98,2013-10-01,168.14,169.5,168.0,169.34
99,2013-10-02,168.35,169.21,167.83,169.18
100,2013-10-03,168.79,168.94,166.84,167.62
101,2013-10-04,167.75,169.06,167.53,168.89
102,2013-10-07,167.41,168.45,167.25,167.43
103,2013-10-08,167.4,167.62,165.36,165.48
104,2013-10-09,165.81,166.2,164.53,165.6
105,2013-10-10,167.29,169.26,167.23,169.17
106,2013-10-11,168.9,170.32,168.77,170.26
107,2013-10-14,169.21,171.08,169.08,170.94
108,2013-10-15,170.52,171.15,169.47,169.7
109,2013-10-16,170.72,172.16,170.64,172.07
110,2013-10-17,171.36,173.32,171.34,173.22
111,2013-10-18,173.86,174.51,173.51,174.39
112,2013-10-21,174.43,174.75,174.01,174.4
113,2013-10-22,174.91,175.93,174.66,175.41
114,2013-10-23,174.81,174.89,173.96,174.57
115,2013-10-24,174.92,175.37,174.51,175.15
116,2013-10-25,175.51,175.96,175.17,175.95
117,2013-10-28,175.89,176.47,175.7,176.23
118,2013-10-29,176.63,177.23,176.38,177.17
119,2013-10-30,177.38,177.51,175.66,176.29
120,2013-10-31,176.15,176.89,175.53,175.79
121,2013-11-01,176.03,176.61,175.22,176.21
122,2013-11-04,176.69,176.9,176.15,176.83
123,2013-11-05,176.14,176.75,175.57,176.27
124,2013-11-06,177.03,177.5,176.54,177.17
125,2013-11-07,177.5,177.64,174.76,174.93
126,2013-11-08,174.86,177.29,174.85,177.29
127,2013-11-11,177.13,177.53,176.91,177.32
