,DateTime,Open,High,Low,Close
0,2013-05-13,12.57,12.87,12.49,12.55
1,2013-05-14,12.61,13.21,12.54,12.77
2,2013-05-15,12.98,13.43,12.78,12.81
3,2013-05-16,13.07,13.46,12.79,13.07
4,2013-05-17,12.73,12.94,12.26,12.45
5,2013-05-20,13.28,13.28,12.84,13.02
6,2013-05-21,13.08,13.44,12.89,13.37
7,2013-05-22,13.45,14.45,13.05,13.82
8,2013-05-23,14.94,15.11,13.87,14.07
9,2013-05-24,14.59,14.79,13.99,13.99
10,2013-05-28,13.67,14.56,13.56,14.48
11,2013-05-29,15.3,15.65,14.59,14.83
12,2013-05-30,14.9,14.98,14.27,14.53
13,2013-05-31,15.02,16.35,14.36,16.3
14,2013-06-03,16.4,17.58,16.15,16.28
15,2013-06-04,16.16,17.25,15.82,16.27
16,2013-06-05,16.86,17.84,16.57,17.5
17,2013-06-06,17.7,18.51,16.6,16.63
18,2013-06-07,15.9,16.21,14.96,15.14
19,2013-06-10,15.16,15.6,15.1,15.44
20,2013-06-11,16.91,17.14,16.0,17.07
21,2013-06-12,16.51,18.6,16.43,18.59
22,2013-06-13,18.38,18.58,16.37,16.41
23,2013-06-14,16.63,17.26,16.03,17.15
24,2013-06-17,16.53,17.62,16.33,16.8
25,2013-06-18,16.81,16.95,16.46,16.61
26,2013-06-19,16.89,17.18,15.36,16.64
27,2013-06-20,18.4,21.32,18.01,20.49
28,2013-06-21,18.97,20.93,18.25,18.9
29,2013-06-24,20.87,21.91,18.58,20.11
30,2013-06-25,18.65,19.22,17.82,18.47
31,2013-06-26,17.23,18.06,17.08,17.21
32,2013-06-27,16.6,16.97,16.34,16.86
33,2013-06-28,17.25,17.69,16.19,16.86
34,2013-07-01,16.9,16.9,16.0,16.37
35,2013-07-02,16.49,16.93,15.88,16.44
36,2013-07-03,17.22,17.32,16.2,16.2
37,2013-07-05,15.59,16.28,14.89,14.89
38,2013-07-08,14.66,15.27,14.66,14.78
39,2013-07-09,14.33,14.65,14.26,14.35
40,2013-07-10,14.46,14.62,14.06,14.21
41,2013-07-11,13.57,14.2,13.57,14.01
42,2013-07-12,13.9,14.04,13.74,13.84
43,2013-07-15,13.98,14.11,13.5,13.79
44,2013-07-16,13.78,14.56,13.78,14.42
45,2013-07-17,14.2,14.44,13.76,13.78
46,2013-07-18,13.63,13.8,13.2,13.77
47,2013-07-19,13.89,13.97,12.54,12.54
48,2013-07-22,13.23,13.37,12.29,12.29
49,2013-07-23,12.15,13.06,12.07,12.66
50,2013-07-24,12.69,13.49,12.69,13.18
51,2013-07-25,13.47,13.54,12.91,12.97
52,2013-07-26,13.41,13.73,12.71,12.72
53,2013-07-29,13.54,13.86,13.38,13.39
54,2013-07-30,13.45,14.14,13.35,13.39
55,2013-07-31,13.55,13.83,12.94,13.45
56,2013-08-01,12.89,13.25,12.82,12.94
57,2013-08-02,12.66,12.74,11.98,11.98
58,2013-08-05,12.29,12.42,11.83,11.84
59,2013-08-06,12.19,12.93,12.06,12.72
60,2013-08-07,13.17,13.91,12.96,12.98
61,2013-08-08,12.5,13.13,12.37,12.73
62,2013-08-09,12.88,13.66,12.71,13.41
63,2013-08-12,13.52,13.57,12.8,12.81
64,2013-08-13,12.86,13.37,12.29,12.31
65,2013-08-14,12.48,13.09,12.35,13.04
66,2013-08-15,14.14,14.85,13.91,14.73
67,2013-08-16,14.56,14.88,13.62,14.37
68,2013-08-19,14.94,15.2,14.35,15.1
69,2013-08-20,15.22,15.25,14.29,14.91
70,2013-08-21,16.0,16.56,14.67,15.94
71,2013-08-22,15.26,15.26,14.66,14.76
72,2013-08-23,14.29,14.82,13.98,13.98
73,2013-08-26,14.37,15.01,13.9,14.99
74,2013-08-27,16.56,17.13,15.82,16.77
75,2013-08-28,16.96,17.11,16.1,16.49
76,2013-08-29,16.79,16.98,15.99,16.81
77,2013-08-30,16.75,17.81,16.7,17.01
78,2013-09-03,16.47,17.37,16.11,16.61
79,2013-09-04,16.88,17.01,15.77,15.88
80,2013-09-05,16.12,16.12,15.63,15.77
81,2013-09-06,15.35,16.81,15.17,15.85
82,2013-09-09,15.86,16.02,15.22,15.63
83,2013-09-10,14.89,15.09,14.5,14.53
84,2013-09-11,14.74,14.74,13.82,13.82
85,2013-09-12,13.93,14.39,13.73,14.29
86,2013-09-13,14.27,14.55,14.11,14.16
87,2013-09-16,14.1,14.49,13.87,14.38
88,2013-09-17,14.44,14.61,14.28,14.53
89,2013-09-18,14.68,14.68,13.23,13.59
90,2013-09-19,13.02,13.39,13.02,13.16
91,2013-09-20,13.3,13.47,12.52,13.12
92,2013-09-23,14.04,14.71,14.02,14.31
93,2013-09-24,14.17,14.37,13.75,14.08
94,2013-09-25,14.24,14.62,13.89,14.01
95,2013-09-26,13.8,14.4,13.58,14.06
96,2013-09-27,14.62,15.79,14.62,15.46
97,2013-09-30,17.49,17.49,16.16,16.6
