,DateTime,Open,High,Low,Close
0,2013-05-13,80.45,80.45,80.45,80.45
1,2013-05-14,80.45,80.45,80.45,80.45
2,2013-05-15,84.06,84.76,81.96,83.15
3,2013-05-16,84.37,84.97,81.87,84.5
4,2013-05-17,83.15,84.79,82.86,84.0
5,2013-05-20,86.72,86.72,84.05,85.01
6,2013-05-21,84.9,88.04,84.53,88.04
7,2013-05-22,86.04,89.79,85.51,88.23
8,2013-05-23,92.31,93.71,87.07,87.4
9,2013-05-24,88.33,88.71,83.34,83.88
10,2013-05-28,83.39,83.87,81.82,82.65
11,2013-05-29,83.65,85.42,81.22,81.72
12,2013-05-30,81.87,82.48,79.03,80.22
13,2013-05-31,81.0,84.87,78.65,84.87
14,2013-06-03,84.79,91.48,84.71,86.99
15,2013-06-04,86.54,89.66,85.85,87.39
16,2013-06-05,88.38,93.89,87.49,93.18
17,2013-06-06,93.02,98.45,91.91,91.91
18,2013-06-07,90.98,90.98,84.19,84.19
19,2013-06-10,84.67,86.06,82.79,82.94
20,2013-06-11,86.77,92.53,85.99,92.32
21,2013-06-12,92.62,103.28,92.58,101.77
22,2013-06-13,100.12,102.46,94.86,95.08
23,2013-06-14,95.34,95.34,91.37,93.87
24,2013-06-17,91.85,92.41,89.75,90.45
25,2013-06-18,90.17,91.01,89.42,89.99
26,2013-06-19,90.63,91.03,85.85,88.59
27,2013-06-20,92.5,103.42,91.68,100.98
28,2013-06-21,97.29,100.27,95.0,96.1
29,2013-06-24,100.86,103.18,98.55,100.93
30,2013-06-25,97.18,98.42,93.67,94.83
31,2013-06-26,91.72,93.03,90.59,90.76
32,2013-06-27,88.31,88.9,84.91,86.05
33,2013-06-28,87.05,87.51,84.81,86.54
34,2013-07-01,86.16,86.34,81.92,84.89
35,2013-07-02,84.45,84.86,82.11,83.7
36,2013-07-03,84.37,84.73,82.19,82.72
37,2013-07-05,81.15,82.12,77.41,77.41
38,2013-07-08,77.53,77.74,75.0,75.49
39,2013-07-09,74.13,75.92,73.24,75.92
40,2013-07-10,78.86,82.05,78.84,79.54
41,2013-07-11,75.96,78.29,75.39,77.16
42,2013-07-12,77.19,80.11,75.64,76.14
43,2013-07-15,76.33,77.92,74.91,76.22
44,2013-07-16,76.36,81.7,75.88,80.84
45,2013-07-17,79.62,80.03,75.62,77.06
46,2013-07-18,75.62,76.01,72.77,74.68
