,DateTime,Open,High,Low,Close
0,2013-05-13,11.64,12.75,11.45,11.45
1,2013-05-14,11.45,12.41,11.45,11.78
2,2013-05-15,11.78,12.42,11.7,11.76
3,2013-05-16,11.74,12.98,10.16,11.89
4,2013-05-17,11.89,11.89,8.31,11.45
5,2013-05-20,11.45,12.24,11.45,11.83
6,2013-05-21,11.83,12.34,11.83,12.2
7,2013-05-22,12.2,12.99,11.71,12.34
8,2013-05-23,12.34,13.29,12.01,12.57
9,2013-05-24,12.57,13.18,12.57,12.61
10,2013-05-28,12.61,13.09,10.68,13.09
11,2013-05-29,13.09,14.04,13.09,13.37
12,2013-05-30,13.37,13.68,13.04,13.21
13,2013-05-31,13.21,14.45,12.13,14.23
14,2013-06-03,14.24,15.45,14.06,14.2
15,2013-06-04,14.2,15.35,14.05,14.46
16,2013-06-05,14.46,16.02,14.46,15.62
17,2013-06-06,15.63,16.76,14.97,14.97
18,2013-06-07,14.97,14.97,13.43,13.59
19,2013-06-10,13.59,14.16,13.59,13.91
20,2013-06-11,13.91,15.29,13.91,15.17
21,2013-06-12,15.17,16.9,14.62,16.69
22,2013-06-13,16.69,16.93,14.85,14.85
23,2013-06-14,14.83,15.75,14.4,15.48
24,2013-06-17,15.51,15.96,14.29,15.16
25,2013-06-18,15.16,15.34,14.66,14.77
26,2013-06-19,14.77,15.33,12.18,14.87
27,2013-06-20,14.88,18.84,14.88,18.22
28,2013-06-21,18.23,18.51,16.32,16.77
29,2013-06-24,16.77,19.51,16.5,17.74
30,2013-06-25,17.74,17.74,16.04,16.61
31,2013-06-26,16.61,16.61,15.23,15.33
32,2013-06-27,15.33,15.33,14.3,14.89
33,2013-06-28,14.89,15.81,14.54,15.21
34,2013-07-01,15.21,15.33,14.55,14.92
35,2013-07-02,14.91,15.45,14.49,14.91
36,2013-07-03,14.91,15.71,14.69,14.7
37,2013-07-05,14.7,14.93,13.47,13.47
38,2013-07-08,13.47,13.9,13.31,13.33
39,2013-07-09,13.33,13.39,12.9,13.26
40,2013-07-10,13.25,13.43,12.86,12.93
41,2013-07-11,12.93,13.01,12.42,12.79
42,2013-07-12,12.8,13.04,12.57,12.93
43,2013-07-15,12.9,13.28,12.7,12.92
44,2013-07-16,12.92,13.47,12.86,13.35
45,2013-07-17,13.35,13.46,12.7,12.7
46,2013-07-18,12.7,12.71,12.19,12.53
47,2013-07-19,12.53,12.86,11.66,11.66
48,2013-07-22,11.66,12.53,11.66,11.68
49,2013-07-23,11.68,12.09,11.31,11.71
50,2013-07-24,11.71,12.3,11.55,12.0
51,2013-07-25,12.0,12.51,11.87,11.91
52,2013-07-26,11.91,12.72,11.79,11.79
53,2013-07-29,11.79,12.7,11.79,12.3
54,2013-07-30,12.29,13.0,12.25,12.33
55,2013-07-31,12.33,12.83,12.02,12.57
56,2013-08-01,12.57,12.57,11.72,12.26
57,2013-08-02,12.26,12.26,11.25,11.25
58,2013-08-05,11.25,11.86,11.13,11.13
59,2013-08-06,11.13,12.3,11.13,11.97
60,2013-08-07,11.97,12.87,11.97,12.02
61,2013-08-08,12.02,12.49,11.66,12.02
62,2013-08-09,12.02,13.01,11.38,12.59
63,2013-08-12,12.59,12.96,12.21,12.21
64,2013-08-13,12.21,12.56,11.43,11.67
65,2013-08-14,11.67,12.56,11.67,12.49
66,2013-08-15,12.49,14.03,12.49,13.84
67,2013-08-16,13.84,13.84,12.83,13.37
68,2013-08-19,13.37,13.94,13.37,13.81
69,2013-08-20,13.81,14.06,13.25,13.81
70,2013-08-21,13.81,15.22,13.68,14.9
71,2013-08-22,14.9,14.9,13.79,13.89
72,2013-08-23,13.89,13.89,13.05,13.05
73,2013-08-26,13.06,13.89,13.02,13.89
74,2013-08-27,13.89,15.34,13.89,15.12
75,2013-08-28,15.12,15.34,14.59,14.84
76,2013-08-29,14.84,15.28,14.54,15.15
77,2013-08-30,15.16,15.91,14.88,15.38
78,2013-09-03,15.38,15.73,14.68,15.14
79,2013-09-04,15.12,15.41,14.4,14.5
80,2013-09-05,14.5,14.68,13.35,14.31
81,2013-09-06,14.3,15.02,13.81,14.35
82,2013-09-09,14.36,14.44,13.78,14.23
83,2013-09-10,14.23,14.23,10.88,13.34
84,2013-09-11,13.34,13.38,12.56,12.56
85,2013-09-12,12.56,13.0,12.46,12.95
86,2013-09-13,12.95,13.11,12.29,12.98
87,2013-09-16,12.98,14.57,12.42,13.12
88,2013-09-17,13.13,13.52,13.13,13.44
89,2013-09-18,13.44,13.8,12.21,13.13
90,2013-09-19,13.13,13.13,12.41,12.47
91,2013-09-20,12.47,12.84,12.03,12.84
92,2013-09-23,12.84,13.89,12.84,13.64
93,2013-09-24,13.64,13.79,11.85,13.48
94,2013-09-25,13.49,13.85,13.24,13.55
95,2013-09-26,13.56,13.65,13.03,13.4
96,2013-09-27,13.41,14.97,13.41,14.69
97,2013-09-30,14.69,16.67,14.69,15.91
98,2013-10-01,15.91,16.13,13.21,15.04
99,2013-10-02,15.05,16.37,15.05,16.34
100,2013-10-03,16.34,17.9,16.26,17.12
101,2013-10-04,17.16,17.28,16.15,16.15
102,2013-10-07,16.14,18.5,16.14,18.5
103,2013-10-08,18.5,19.8,18.11,19.33
104,2013-10-09,19.33,20.09,14.84,18.39
105,2013-10-10,18.39,18.48,13.92,15.76
106,2013-10-11,15.76,15.76,14.64,14.76
107,2013-10-14,14.76,16.69,14.76,15.17
108,2013-10-15,15.16,17.78,15.16,17.78
109,2013-10-16,17.78,17.78,14.43,14.73
110,2013-10-17,14.73,18.16,13.11,13.29
111,2013-10-18,13.29,13.37,12.48,12.83
112,2013-10-21,12.83,13.54,9.25,12.98
113,2013-10-22,12.98,13.32,12.65,12.97
114,2013-10-23,12.96,13.63,12.85,12.85
115,2013-10-24,12.85,12.88,12.34,12.4
116,2013-10-25,12.4,15.85,12.34,12.38
117,2013-10-28,12.38,13.9,12.38,12.74
118,2013-10-29,12.73,12.83,11.75,12.78
119,2013-10-30,12.78,32.01,10.06,13.08
120,2013-10-31,13.08,13.57,12.59,13.05
121,2013-11-01,13.05,13.16,9.44,12.66
122,2013-11-04,12.65,13.15,12.65,12.66
123,2013-11-05,12.66,13.42,12.42,12.66
124,2013-11-06,12.66,12.66,12.12,12.12
125,2013-11-07,12.12,13.05,12.12,12.89
126,2013-11-08,12.9,12.9,12.25,12.33
127,2013-11-11,12.33,12.33,11.97,12.04
128,2013-11-12,12.04,12.41,12.04,12.18
129,2013-11-13,12.18,12.8,12.02,12.1
130,2013-11-14,12.1,12.48,11.8,11.96
131,2013-11-15,11.96,11.96,10.84,11.24
132,2013-11-18,11.24,12.03,11.24,11.86
133,2013-11-19,11.86,12.26,11.81,12.17
