,DateTime,Open,High,Low,Close
0,2013-05-13,14.45,14.73,14.23,14.59
1,2013-05-14,14.72,14.98,14.29,14.78
2,2013-05-15,14.78,14.78,13.88,13.88
3,2013-05-16,13.79,14.09,12.82,13.72
4,2013-05-17,13.39,13.58,13.05,13.3
5,2013-05-20,14.08,14.1,13.53,13.53
6,2013-05-21,13.74,14.41,13.7,14.41
7,2013-05-22,14.36,15.04,13.26,14.73
8,2013-05-23,15.52,15.64,14.4,14.89
9,2013-05-24,14.89,15.39,14.48,14.48
10,2013-05-28,14.48,14.99,13.49,14.99
11,2013-05-29,14.97,15.74,14.97,15.18
12,2013-05-30,15.26,15.26,14.68,14.99
13,2013-05-31,14.99,15.99,14.16,15.99
14,2013-06-03,15.98,17.71,15.66,16.79
15,2013-06-04,16.72,17.39,16.21,16.84
16,2013-06-05,16.84,17.88,16.84,17.49
17,2013-06-06,17.55,18.55,17.4,17.4
18,2013-06-07,17.4,17.4,15.65,15.88
19,2013-06-10,16.0,16.11,15.66,15.86
20,2013-06-11,17.0,17.12,16.08,16.88
21,2013-06-12,16.54,18.7,16.53,18.7
22,2013-06-13,18.7,18.83,16.92,17.13
23,2013-06-14,17.12,17.37,16.64,17.28
24,2013-06-17,16.19,17.38,16.19,16.95
25,2013-06-18,16.95,16.95,16.41,16.47
26,2013-06-19,16.43,16.77,14.44,15.12
27,2013-06-20,15.53,20.07,15.53,20.06
28,2013-06-21,19.92,20.92,19.11,19.44
29,2013-06-24,19.41,21.44,19.02,19.83
30,2013-06-25,19.83,19.83,18.32,18.8
31,2013-06-26,17.71,17.95,17.17,17.38
32,2013-06-27,17.38,17.38,16.36,16.72
33,2013-06-28,17.14,17.48,16.17,16.47
34,2013-07-01,16.47,16.54,15.29,16.16
35,2013-07-02,16.15,16.33,15.48,15.94
36,2013-07-03,15.92,16.49,15.66,15.8
37,2013-07-05,15.52,16.03,14.88,14.91
38,2013-07-08,14.97,15.19,14.72,14.77
39,2013-07-09,14.77,14.77,14.08,14.26
40,2013-07-10,14.27,14.32,13.91,13.95
41,2013-07-11,13.95,13.95,13.33,13.87
42,2013-07-12,13.8,14.17,13.71,13.96
43,2013-07-15,13.94,14.28,13.94,14.03
44,2013-07-16,14.02,14.51,13.97,14.25
45,2013-07-17,14.36,14.51,13.92,13.92
46,2013-07-18,14.19,14.22,13.47,13.47
47,2013-07-19,14.51,14.58,13.62,13.75
48,2013-07-22,14.05,14.18,13.04,13.39
49,2013-07-23,13.36,13.69,13.16,13.37
50,2013-07-24,13.13,13.64,13.13,13.27
51,2013-07-25,13.39,13.71,13.11,13.32
52,2013-07-26,13.6,13.66,12.93,12.93
53,2013-07-29,12.93,13.93,12.93,13.65
54,2013-07-30,13.6,14.19,13.5,13.87
55,2013-07-31,13.87,14.35,13.24,14.25
56,2013-08-01,14.18,14.18,13.7,13.88
57,2013-08-02,13.73,13.79,12.75,12.77
58,2013-08-05,12.77,13.27,12.77,12.83
59,2013-08-06,12.88,13.63,12.88,13.35
60,2013-08-07,13.55,14.02,13.44,13.44
