,DateTime,Open,High,Low,Close
0,2013-05-13,12.62,12.98,12.34,12.44
1,2013-05-14,12.41,13.16,12.16,12.47
2,2013-05-15,12.91,13.63,12.44,12.5
3,2013-05-16,12.86,13.34,12.28,12.73
4,2013-05-17,12.43,12.57,11.76,12.11
5,2013-05-20,12.61,12.7,11.97,12.26
6,2013-05-21,12.48,12.96,12.28,12.79
7,2013-05-22,12.86,14.12,12.58,13.57
8,2013-05-23,14.76,14.87,13.41,13.68
9,2013-05-24,14.04,14.59,13.74,13.87
10,2013-05-28,12.81,13.79,12.75,13.78
11,2013-05-29,14.71,15.26,14.03,14.31
12,2013-05-30,14.41,14.51,13.67,14.1
13,2013-05-31,14.53,15.95,14.04,15.95
14,2013-06-03,15.96,16.83,15.13,15.27
15,2013-06-04,14.97,16.84,14.97,16.11
16,2013-06-05,16.3,17.77,16.23,17.37
17,2013-06-06,17.36,19.06,17.0,17.01
18,2013-06-07,16.2,16.2,14.56,14.78
19,2013-06-10,14.95,15.13,14.32,14.99
20,2013-06-11,16.56,16.77,15.51,16.73
21,2013-06-12,16.49,18.88,16.49,18.38
22,2013-06-13,18.58,18.65,16.08,16.25
23,2013-06-14,16.79,17.67,16.21,17.3
24,2013-06-17,16.19,17.68,16.03,16.77
25,2013-06-18,16.72,17.02,16.24,16.4
26,2013-06-19,17.16,17.2,15.23,16.35
27,2013-06-20,18.68,21.7,18.22,21.26
28,2013-06-21,19.11,20.94,18.52,19.0
29,2013-06-24,21.4,22.25,18.31,19.95
30,2013-06-25,18.53,19.24,17.57,18.38
31,2013-06-26,17.99,18.3,16.97,17.13
32,2013-06-27,16.52,17.07,16.13,16.84
33,2013-06-28,17.43,18.53,16.6,16.93
34,2013-07-01,16.36,16.43,15.38,16.02
35,2013-07-02,16.14,16.81,15.43,16.17
36,2013-07-03,16.9,17.14,16.09,16.21
37,2013-07-05,15.64,16.37,14.84,14.84
38,2013-07-08,14.42,14.89,13.97,14.16
39,2013-07-09,13.9,14.21,13.64,13.73
40,2013-07-10,14.07,14.45,13.63,14.01
41,2013-07-11,13.85,14.35,13.29,13.83
42,2013-07-12,14.24,14.35,13.43,13.43
43,2013-07-15,14.15,14.15,13.37,13.78
44,2013-07-16,13.93,14.58,13.79,14.36
45,2013-07-17,14.28,14.53,13.44,14.11
46,2013-07-18,13.4,13.58,12.85,13.54
47,2013-07-19,13.67,13.7,12.42,12.55
48,2013-07-22,12.75,12.91,11.65,11.66
49,2013-07-23,11.36,12.44,11.32,12.18
